[2016-06-26 14:16:22] parser.ERROR: Error: url (http://www.ex.ua/contacts) 404: HTTP/1.1 404 Not Found [] []
[2016-06-26 14:18:06] parser.ERROR: Error: url (http://www.ex.ua/contacts) 404: HTTP/1.1 404 Not Found [] []
[2016-06-26 14:18:40] parser.ERROR: Error: url (http://www.ex.ua/contacts) 404: HTTP/1.1 404 Not Found [] []
[2016-06-26 14:19:04] parser.ERROR: Error: url (http://www.ex.ua/contacts) 404: HTTP/1.1 404 Not Found [] []
[2016-06-26 14:19:53] parser.ERROR: Error: url (http://www.ex.ua/contacts) 404: HTTP/1.1 404 Not Found [] []
[2016-06-26 14:23:45] parser.ERROR: Error: url (http://www.ex.ua/contacts) 404: HTTP/1.1 404 Not Found [] []
[2016-06-26 14:24:43] parser.ERROR: Error: url (http://www.ex.ua/contacts) 404: HTTP/1.1 404 Not Found [] []
[2016-06-26 14:29:56] parser.ERROR: Страница вернула код HTTP/1.0 200 OK [] []
[2016-06-26 14:30:11] parser.ERROR: Страница вернула код HTTP/1.0 200 OK [] []
[2016-06-26 14:30:48] parser.ERROR: Error: url (https://ru.wikipedia.org/wiki/PHP/contacts) 404: HTTP/1.1 404 Not Found [] []
[2016-06-26 14:30:49] parser.ERROR: Error: url (https://ru.wikipedia.org/wiki/PHP/contact) 404: HTTP/1.1 404 Not Found [] []
[2016-06-26 14:30:52] parser.ERROR: Error: url (www.php.su/) 52: Empty reply from server [] []
[2016-06-26 14:30:52] parser.ERROR: Error: url (www.php.su//contacts) 52: Empty reply from server [] []
[2016-06-26 14:30:52] parser.ERROR: Error: url (www.php.su//contact) 52: Empty reply from server [] []
[2016-06-26 14:30:55] parser.ERROR: Error: url (www.w3schools.com/php//contacts) 404: HTTP/1.1 404 Not Found [] []
[2016-06-26 14:30:55] parser.ERROR: Error: url (www.w3schools.com/php//contact) 404: HTTP/1.1 404 Not Found [] []
[2016-06-26 14:30:58] parser.ERROR: Error: url (https://ru.wikibooks.org/wiki/PHP/contacts) 404: HTTP/1.1 404 Not Found [] []
[2016-06-26 14:30:58] parser.ERROR: Error: url (https://ru.wikibooks.org/wiki/PHP/contact) 404: HTTP/1.1 404 Not Found [] []
[2016-06-26 14:31:03] parser.ERROR: Error: url (lurkmore.to/PHP/contacts) 404: HTTP/1.1 404 Not Found [] []
[2016-06-26 14:31:05] parser.ERROR: Error: url (lurkmore.to/PHP/contact) 404: HTTP/1.1 404 Not Found [] []
[2016-06-29 19:25:06] parser.ERROR: Error: url (https://okna.ua) 500: HTTP/1.1 500 Internal Server Error [] []
[2016-06-29 19:25:07] parser.ERROR: Error: url (https://okna.ua) 500: HTTP/1.1 500 Internal Server Error [] []
[2016-06-29 19:25:08] parser.ERROR: Error: url (https://board.okna.ua) 500: HTTP/1.1 500 Internal Server Error [] []
[2016-06-29 19:31:02] parser.ERROR: Error: url (https://okna.ua) 500: HTTP/1.1 500 Internal Server Error [] []
[2016-06-29 19:31:04] parser.ERROR: Error: url (https://okna.ua) 500: HTTP/1.1 500 Internal Server Error [] []
[2016-06-29 19:31:04] parser.ERROR: Error: url (https://board.okna.ua) 500: HTTP/1.1 500 Internal Server Error [] []
[2016-06-29 19:37:39] parser.ERROR: Error: url (https://okna.ua) 500: HTTP/1.1 500 Internal Server Error [] []
[2016-06-29 19:37:40] parser.ERROR: Error: url (https://okna.ua) 500: HTTP/1.1 500 Internal Server Error [] []
[2016-06-29 19:37:41] parser.ERROR: Error: url (https://board.okna.ua) 500: HTTP/1.1 500 Internal Server Error [] []
[2016-06-29 19:38:29] parser.ERROR: Error: url (https://okna.ua) 500: HTTP/1.1 500 Internal Server Error [] []
[2016-06-29 19:38:30] parser.ERROR: Error: url (https://okna.ua) 500: HTTP/1.1 500 Internal Server Error [] []
[2016-06-29 19:38:30] parser.ERROR: Error: url (https://board.okna.ua) 500: HTTP/1.1 500 Internal Server Error [] []
[2016-06-29 19:43:56] parser.ERROR: Error: url (https://okna.ua) 500: HTTP/1.1 500 Internal Server Error [] []
[2016-06-29 19:43:57] parser.ERROR: Error: url (https://okna.ua) 500: HTTP/1.1 500 Internal Server Error [] []
[2016-06-29 19:43:58] parser.ERROR: Error: url (https://board.okna.ua) 500: HTTP/1.1 500 Internal Server Error [] []
[2016-06-29 19:53:48] parser.ERROR: Error: url (https://okna.ua) 500: HTTP/1.1 500 Internal Server Error [] []
[2016-06-29 19:53:50] parser.ERROR: Error: url (https://okna.ua) 500: HTTP/1.1 500 Internal Server Error [] []
[2016-06-29 19:53:50] parser.ERROR: Error: url (https://board.okna.ua) 500: HTTP/1.1 500 Internal Server Error [] []
[2016-06-29 19:56:21] parser.ERROR: Error: url (https://okna.ua) 500: HTTP/1.1 500 Internal Server Error [] []
[2016-06-29 19:56:22] parser.ERROR: Error: url (https://okna.ua) 500: HTTP/1.1 500 Internal Server Error [] []
[2016-06-29 19:56:22] parser.ERROR: Error: url (https://board.okna.ua) 500: HTTP/1.1 500 Internal Server Error [] []
[2016-06-29 19:56:33] parser.ERROR:  Ошибка отправки сообщения: You must provide at least one recipient email address. [] []
